name,prompt,negative_prompt
"Illustration | Anime > Junji Ito","Junji Ito anime art style, horror manga aesthetic, unsettling and intricate linework, body horror elements, psychological dread, detailed grotesque imagery, atmospheric tension, surreal nightmare sequences, masterful use of shadows and textures, thought-provoking horror storytelling","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Illustration | Anime > Makoto Shinkai","Makoto Shinkai anime art style, breathtaking scenic backgrounds, luminous lighting effects, detailed cloudscapes, emotional atmosphere, vibrant color grading, lens flares, reflective surfaces, romantic mood, cinematic composition, photorealistic backgrounds with anime characters","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Illustration | Anime > Mamoru Hosoda","Mamoru Hosoda anime art style, heartfelt family themes, detailed everyday life scenes, soft natural lighting, expressive character animation, vibrant seasonal backgrounds, emotional storytelling, realistic proportions, warm color grading, contemporary Japanese settings","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Illustration | Anime > MAPPA","MAPPA anime art style, dynamic action sequences, bold linework, dramatic shading, intense character expressions, cinematic framing, high-contrast lighting, detailed backgrounds, modern anime aesthetic, professional production quality","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Illustration | Anime > Naoko Takeuchi","Naoko Takeuchi anime art style, magical girl aesthetics, sparkling effects, elegant fashion designs, soft pastel colors, romantic atmosphere, detailed costume illustrations, starry backgrounds, graceful character poses, shoujo manga influence","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Illustration | Anime > Kyoto Animation","Kyoto Animation anime art style, exquisite character detailing, soft lighting, emotional expressiveness, vibrant yet balanced colors, meticulous background art, fluid character animation style, slice-of-life aesthetics, polished production quality, heartfelt storytelling","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Illustration | Anime > Rumiko Takahashi","Rumiko Takahashi anime art style, expressive comedic timing, charming character designs, romantic comedy aesthetics, detailed everyday settings, warm color palette, dynamic panel composition, shonen/shojo blend, heartfelt storytelling","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Illustration | Anime > Satoshi Kon","Satoshi Kon anime art style, psychological thriller aesthetics, surreal transitions, dreamlike sequences, intricate urban details, dramatic lighting, complex compositions, reality-bending visuals, cinematic framing, thought-provoking narratives","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Illustration | Anime > Studio Ghibli","Studio Ghibli anime art style, hand-drawn animation aesthetic, whimsical characters, lush natural environments, soft watercolor backgrounds, gentle color palette, magical realism, detailed food illustration, expressive character design, nostalgic atmosphere, peaceful storytelling","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Illustration | Anime > Takehiko Inoue","Takehiko Inoue anime art style, Slam Dunk and Vagabond manga aesthetic, realistic character proportions, expressive emotional depth, dynamic sports and historical action, masterful ink wash techniques, detailed background art, cinematic composition, mature and heartfelt storytelling","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Illustration | Anime > Tite Kubo","Tite Kubo anime art style, Bleach manga aesthetic, sharp angular character designs, high-contrast black and white, dynamic action poses, stylish clothing and accessories, dramatic panel composition, cool and edgy atmosphere, detailed background patterns, urban supernatural themes","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Illustration | Anime > Ufotable","Ufotable anime art style, stunning visual effects, dynamic camera angles, particle effects, glowing energy attacks, detailed character designs, cinematic composition, vibrant color grading, high-quality animation aesthetics, dramatic lighting","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Illustration | Anime > Yoh Yoshinari","Yoh Yoshinari anime art style, playful character designs, whimsical expressions, dynamic action lines, vibrant color schemes, magical girl aesthetics, energetic composition, detailed costume design, charming animation style, lighthearted storytelling","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Illustration | Anime > Yoshitaka Amano","Yoshitaka Amano anime art style, ethereal watercolor illustrations, flowing delicate lines, dreamlike fantasy characters, soft pastel and vibrant color blends, mythical creatures, elegant and otherworldly aesthetic, Final Fantasy concept art influence, romantic and melancholic atmosphere, intricate costume details, floating hair and fabrics, artistic and painterly approach","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Illustration | Art Deco","Art Deco illustration style, elegant and geometric designs, streamlined and symmetrical compositions, embodies the glamour and sophistication of the Art Deco era, influenced by modernism and machine aesthetics","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Illustration | Biomechanical","Biomechanical illustration style, fusion of organic and mechanical elements, intricate detailed designs, surreal and futuristic aesthetic, professional-grade execution, dynamic composition, sci-fi influence, captivating visual narrative","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Illustration | Botanical","Botanical illustration style, detailed plant depictions, scientific accuracy, delicate lines, vibrant natural colors, professional-grade execution, classic aesthetic, educational value","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Illustration | Cartoon","Cartoon illustration style, whimsical and expressive characters, exaggerated features and emotions, versatile and adaptable for various storytelling purposes","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Illustration | Cartoon Character on White BG","cartoon digital painting art style, isolated on solid white background, adorable, big eyes, cute cartoon character","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Illustration | Children's book","Children's book illustration style, whimsical and charming imagery, bright and playful colors, engaging characters and storytelling, cartoon","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Illustration | Concept Map","concept map style, relationship visualization, technical documentation, knowledge mapping, concept connections, technical accuracy, educational content, learning tool, information structure, cognitive mapping","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Illustration | Cyberpunk Neon","Cyberpunk neon illustration style, vibrant neon colors, futuristic urban scenes, high-tech low-life aesthetic, dynamic lighting effects, professional-grade execution, dystopian atmosphere, engaging visual storytelling","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Illustration | Data Visualization","data visualization style, information graphics, technical documentation, statistical representation, clear communication, technical accuracy, business intelligence, analytical insights, decision support, knowledge transfer","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Illustration | Editorial","Editorial illustration style, conceptual and thought-provoking, communicates ideas and opinions, dynamic composition, professional-grade execution, suitable for magazines and publications, engaging visual storytelling","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Illustration | Fairy Tale","Fairy tale illustration style, whimsical and enchanting, magical creatures and settings, soft pastel colors, storybook aesthetic, professional-grade execution, dreamy atmosphere, captivating narrative visuals","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Illustration | Fashion","Fashion illustration style, captures the latest trends and designs in clothing and accessories, elegant and stylized figures, showcases creativity and imagination in the fashion industry","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Illustration | Game Art","Game art illustration style, game illustration, diverse and immersive visuals, whimsical, dynamic characters and environments, rich color palettes, enhances storytelling and gameplay experience","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Illustration | Gothic Horror","Gothic horror illustration style, dark and atmospheric, eerie and unsettling imagery, dramatic shadows, Victorian influences, professional-grade execution, macabre aesthetic, haunting visual storytelling","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Illustration | Illuminated Manuscript","Illuminated manuscript art style illustration, medieval illustration, intricate and detailed illustration, vibrant colors and gold leaf accents,  showcases meticulous craftsmanship and dedication","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Illustration | Infographic Technical","technical infographic style, complex information simplified, visual communication, technical documentation, data-driven design, technical accuracy, educational content, process explanation, system overview, knowledge sharing","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Illustration | Isometric Game","Isometric game illustration style, 3D perspective on 2D plane, clean vector lines, vibrant game-ready colors, professional-grade execution, suitable for mobile and web games, engaging visual design","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Illustration | Mind Map","mind map style, idea visualization, technical documentation, concept mapping, brainstorming tool, technical accuracy, knowledge organization, creative thinking, information structure, learning aid","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Illustration | Modern","Modern illustration style, contemporary and cutting-edge, embraces new techniques and technologies, reflects current trends and cultural influences","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Illustration | Modernism","Modernism illustration style, embraces experimentation and abstraction, breaks away from traditional representation, explores new forms and techniques, reflects the spirit of innovation and progress.","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Illustration | Mythological","Mythological illustration style, ancient gods and legends, epic narratives, classical art influences, symbolic motifs, professional-grade execution, timeless storytelling, majestic compositions","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Illustration | Neon Line Art","Neon line art illustration style, glowing vibrant outlines, dark background contrast, futuristic aesthetic, dynamic compositions, professional-grade execution, eye-catching visual impact","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Illustration | Pop Art","Pop art illustration style, vibrant and bold colors, uses imagery from popular culture, incorporate elements of mass media and consumerism, celebrates the mundane and everyday objects","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Illustration | Scientific","Scientific illustration style, accurate and detailed, educational purpose, precise rendering, professional-grade execution, suitable for textbooks and research, clear communication of concepts","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Illustration | Sticker",Sticker art style isolated on solid color background,"signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Illustration | Sticker Cute","Cute adorable cartoon sticker art style isolated on solid color background, charming and endearing characters or designs, appeals to emotions like joy and affection","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Illustration | Sticker Watercolor","Sticker art style isolated on solid color background, watercolor painting art style, transparent and delicate layers, luminous and ethereal effects, spontaneous and fluid compositions, subtle gradients and blending","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Illustration | Vintage Poster","Vintage poster illustration style, retro typography, distressed textures, bold color palettes, classic advertising aesthetics, professional-grade execution, nostalgic visual storytelling","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"||| DRAWING","drawing art style, expressive lines, dynamic composition","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Drawing | Ballpoint Pen","dark blue color ballpoint pen drawing art style, expressive dark blue lines, dynamic compositions, professional-grade execution, captures the spontaneity and fluidity of sketching","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Drawing | Blue Ballpoint Pen","dark blue color ballpoint pen drawing art style, expressive dark blue lines, dynamic compositions, professional-grade execution, captures the spontaneity and fluidity of sketching","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Drawing | Caricature","Caricature art style, exaggerated features, humorous interpretation, dynamic composition, professional-grade execution, adds humor and personality, captures essence in a playful manner","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Drawing | Caricature Extreme","caricature art style, highly exaggerated features, humorous interpretation, bold and dynamic composition, professional-grade execution, adds humor and personality, captures essence in a exaggerated playful manner","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Drawing | Charcoal","charcoal drawing style, dramatic contrast, expressive strokes, rich textures, dynamic composition, professional-grade finish, classic aesthetic","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Drawing | Charcoal Portrait","Charcoal portrait drawing style, dramatic contrast, expressive smudged tones, rich textures, emotional depth, professional-grade execution, classical technique, timeless elegance","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Drawing | Chalk","Chalk drawing art style, soft powdery textures, blendable tones, expressive strokes, professional-grade execution, ephemeral aesthetic, dynamic compositions, tactile quality","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Drawing | Colored Pencil","Colored pencil drawing art style, vibrant colors, delicate shading, professional-grade execution, captures the richness and depth of traditional drawing techniques","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Drawing | Conte","Conte crayon drawing art style, rich earthy tones, expressive strokes, dynamic composition, professional-grade execution, classic aesthetic, textured surfaces, artistic expression","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Drawing | Graphite","graphite drawing art style, subtle tones, delicate shading, precise detailing, fine textures, expressive lines, intricate compositions, timeless elegance, professional-grade finish, immersive depth, classic aesthetic","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Drawing | Ink","Ink drawing art style, bold lines, expressive strokes, high contrast, intricate details, dynamic compositions, versatile medium, professional-grade finish, classic aesthetic, adds depth and texture, timeless elegance","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Drawing | Ink Wash","Ink wash drawing style, traditional sumi-e technique, fluid gradients, expressive brushstrokes, minimalist compositions, professional-grade execution, serene aesthetic, cultural heritage","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Drawing | Marker","Marker drawing art style, vibrant saturated colors, smooth blending, bold lines, professional-grade execution, dynamic compositions, contemporary aesthetic, versatile medium","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Drawing | Mechanical Sketch","Mechanical sketch drawing style, technical precision, detailed engineering lines, blueprint aesthetic, professional-grade execution, industrial design focus, clean compositions","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Drawing | Pastel","pastel drawing art style, pastel colors, delicate shading, dynamic composition, soft and velvety pastel textures, amazing pastel drawing","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Drawing | Pen","pen drawing art style, precise lines, intricate details, high contrast, dynamic compositions, versatile medium, professional-grade finish, timeless elegance, creates bold and expressive strokes","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Drawing | Pencil","Pencil drawing art style, delicate shading, precise lines, professional-grade execution, captures the subtlety and texture of graphite","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Drawing | Sgraffito","Sgraffito drawing art style, scratched surface technique, layered colors revealed, dynamic composition, professional-grade execution, unique texture, artistic expression, tactile quality","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Drawing | Sepia Ink","Sepia ink drawing art style, warm brown tones, vintage aesthetic, expressive linework, professional-grade execution, timeless elegance, atmospheric compositions, classic illustration technique","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Drawing | Silverpoint","Silverpoint drawing art style, delicate metallic lines, subtle tones, precise detailing, professional-grade execution, classical technique, timeless elegance, fine textures","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Drawing | Scratchboard","Scratchboard drawing art style, intricate details, dramatic contrast, professional-grade execution, captures the tactile quality and depth of etching","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Drawing | Technical","Technical drawing art style, precise and detailed, emphasizes accuracy and clarity, communicates complex ideas visually","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"Drawing | Zentangle","Zentangle drawing art style, clean, minimalist, meditative and relaxing, uses repetitive patterns and structured designs to create intricate and abstract artworks, precise lines, professional-grade execution, contrast, black and white","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
"||| 3D RENDER","professional 3d render, 3D render artistic style, intricate details, creative composition, professional rendering, photorealistic textures, dynamic lighting, captivating visuals, octane render, highly detailed, volumetric, dramatic lighting","low-quality rendering, photo, photorealistic, realism, ugly, worst quality, low quality, lowres, JPEG artifacts"
"3D | Abstract","abstract 3D render, abstract 3d art, imaginative design, dynamic lighting, immersive presentation, captivating visuals, high-quality rendering techniques, innovative concept, unique aesthetics, creative compositions, visually stunning results, volumetric, 4k","painting, low-quality rendering, photo, photorealistic, realism, ugly, worst quality, low quality, lowres, JPEG artifacts"
"3D | Abstract > Fluid Dynamics","fluid dynamics 3D art style, 3d fluid render, expressive and dynamic, vibrant contrasting colors, lively appearance, mesmerizing flow of shapes, simulation of fluid dynamics, swirling motion, bold colors blending seamlessly, abstract and captivating, fluidity and energy, mesmerizing composition, engaging viewer experience, seamless integration of colors and shapes, volumetric, 4k","painting, low-quality rendering, photo, photorealistic, realism, ugly, worst quality, low quality, lowres, JPEG artifacts"
"3D | Abstract > Soft Forms","modern abstract 3D art style, focusing on organic shapes and objects, soft colors, captivating composition, tactile qualities, smoothness, softness, contrast between matte and shiny textures, depth and interest, blend of textures, minimalistic yet complex aesthetic, volumetric, 4k","painting, low-quality rendering, photo, photorealistic, realism, ugly, worst quality, low quality, lowres, JPEG artifacts"
"3D | Architectural","professional 3D architectural rendering, realistic visualization, intricate detailing, lifelike textures, dynamic lighting, immersive environment, photorealistic representation, captivating visuals, realistic materials, professional rendering techniques, volumetric, 4k","painting, low-quality rendering, ugly, worst quality, low quality, lowres, JPEG artifacts"
"3D | Bioluminescent","Bioluminescent 3D render, glowing organic forms, ethereal lighting effects, vibrant neon accents, dynamic composition, high-quality rendering techniques, professional-grade execution, volumetric, 4k","painting, low-quality rendering, photo, photorealistic, realism, ugly, worst quality, low quality, lowres, JPEG artifacts"
"3D | Celestial","Celestial 3D render, cosmic bodies and nebulae, stellar lighting effects, deep space atmosphere, dynamic composition, high-quality rendering techniques, professional-grade execution, volumetric, 4k","painting, low-quality rendering, photo, photorealistic, realism, ugly, worst quality, low quality, lowres, JPEG artifacts"
"3D | Character","professional 3D character design,  dynamic pose, expert character design, engaging storytelling, captivating visuals, imaginative concept, high-quality rendering, volumetric, 4k","low-quality rendering, photo, photorealistic, realism, ugly, worst quality, low quality, lowres, JPEG artifacts"
"3D | Character > Cartoon","professional 3D cartoon character design, whimsical animation, vibrant personality, exaggerated features, dynamic pose, expert character design, colorful textures, engaging storytelling, versatile animation styles, captivating visuals, imaginative concepts, playful interactions, high-quality rendering, volumetric, 4k","low-quality rendering, photo, photorealistic, realism, ugly, worst quality, low quality, lowres, JPEG artifacts"
"3D | Character > Cartoon Cute","professional 3D design of a cute and adorable cartoon character with big eyes, charming animation, endearing personality, exaggerated features, dynamic pose, captivating expression, expert character design, vibrant and colorful textures, engaging storytelling, versatile animation style, high-quality render, volumetric, 4k","low-quality rendering, photo, photorealistic, realism, ugly, worst quality, low quality, lowres, JPEG artifacts"
"3D | Clay Render","Clay render 3D style, matte monochrome finish, soft lighting, emphasis on form and silhouette, professional-grade rendering, clean presentation, volumetric, 4k","painting, low-quality rendering, photo, photorealistic, realism, ugly, worst quality, low quality, lowres, JPEG artifacts"
"3D | Crystalline","Crystalline 3D render, geometric crystal structures, refractive surfaces, brilliant lighting effects, dynamic composition, high-quality rendering techniques, volumetric, 4k","painting, low-quality rendering, photo, photorealistic, realism, ugly, worst quality, low quality, lowres, JPEG artifacts"
"3D | Ethereal","Ethereal 3D render, translucent and luminous forms, soft glowing light, dreamlike atmosphere, dynamic composition, high-quality rendering techniques, professional-grade execution, volumetric, 4k","painting, low-quality rendering, photo, photorealistic, realism, ugly, worst quality, low quality, lowres, JPEG artifacts"
"3D | Fractal","Fractal 3D render, mathematical infinite patterns, vibrant recursive geometry, mesmerizing complexity, dynamic lighting, high-quality rendering techniques, professional-grade execution, volumetric, 4k","painting, low-quality rendering, photo, photorealistic, realism, ugly, worst quality, low quality, lowres, JPEG artifacts"
"3D | Game Asset","3d game item, high-quality 3D rendering of a game asset, dynamic lighting, captivating visuals, seamless integration, realistic materials, high-quality rendering techniques, versatile application, innovative concepts, optimized for gaming engines, volumetric, 4k","low-quality rendering, photo, photorealistic, realism, ugly, worst quality, low quality, lowres, JPEG artifacts"
"3D | Glass Morphism","Glass morphism 3D render style, translucent frosted surfaces, subtle refractions, soft glowing edges, modern UI aesthetic, professional-grade rendering, volumetric lighting, 4k","painting, low-quality rendering, photo, photorealistic, realism, ugly, worst quality, low quality, lowres, JPEG artifacts"
"3D | Hard Surface","professional hard surface 3D design modeling, hard surface expert modeling, hard surface 3d render, precise detailing, captivating visuals, professional-grade design, dynamic appearance, attention-grabbing aesthetics, high-quality rendering techniques, volumetric, 4k","painting, low-quality rendering, photo, photorealistic, realism, ugly, worst quality, low quality, lowres, JPEG artifacts"
"3D | Hologram","Holographic 3D render, iridescent light projections, rainbow refractions, futuristic aesthetic, dynamic composition, high-quality rendering techniques, professional-grade execution, volumetric, 4k","painting, low-quality rendering, photo, photorealistic, realism, ugly, worst quality, low quality, lowres, JPEG artifacts"
"3D | Holographic","Holographic 3D render, iridescent surfaces, rainbow reflections, futuristic aesthetic, dynamic lighting, captivating visuals, high-quality rendering techniques, volumetric, 4k","painting, low-quality rendering, photo, photorealistic, realism, ugly, worst quality, low quality, lowres, JPEG artifacts"
"3D | Icon","3D icon design, isolated on solid background, creative icon design, minimalist, depth and dimensionality, dynamic lighting, captivating visuals, high-quality rendering techniques, volumetric, 4k","painting, low-quality rendering, photo, photorealistic, realism, ugly, worst quality, low quality, lowres, JPEG artifacts"
"3D | Isometric","isometric 3D render, isometric 3D design, isometric perspective, precise perspective, clean, dynamic lighting, captivating visuals, immersive presentation, high-quality rendering techniques, volumetric, dramatic lighting, 4k","painting, low-quality rendering, photo, photorealistic, realism, ugly, worst quality, low quality, lowres, JPEG artifacts"
"3D | Low Poly","Low poly 3D design aesthetic, minimalist and stylized appearance, expert modeling software, efficient detailing, immersive presentation, captivating visuals, professional-grade design, dynamic and clean appearance, versatile application, attention-grabbing aesthetics, efficient rendering, suitable for performance-sensitive applications such as games and simulations","painting, low-quality rendering, photo, photorealistic, realism, ugly, worst quality, low quality, lowres, JPEG artifacts"
"3D | Mech","3d mechanical render, mech style, scifi, futuristic, detailed mech 3D rendering, intricate design, dynamic lighting, captivating visuals, high-quality rendering techniques, futuristic aesthetics, volumetric, 4k","painting, low-quality rendering, photo, photorealistic, realism, ugly, worst quality, low quality, lowres, JPEG artifacts"
"3D | Model","detailed 3D model representation, 3d render, captivating visuals, professional-grade design, dynamic appearance, high-quality rendering techniques, volumetric, 4k","painting, low-quality rendering, photo, photorealistic, realism, ugly, worst quality, low quality, lowres, JPEG artifacts"
"3D | Organic","Organic 3D render, natural flowing forms, biomorphic shapes, smooth surfaces, dynamic lighting, captivating visuals, high-quality rendering techniques, volumetric, 4k","painting, low-quality rendering, photo, photorealistic, realism, ugly, worst quality, low quality, lowres, JPEG artifacts"
"3D | Product","professional 3d model, 3D product visualization, octane render, immersive presentation, photorealistic rendering, captivating visuals, realistic materials, highly detailed, volumetric, dramatic lighting, 4k","low poly, blurry, painting, low-quality rendering, photo, photorealistic, realism, ugly, worst quality, low quality, lowres, JPEG artifacts"
"3D | Sci-Fi","futuristic 3D rendering, imaginative design, dynamic lighting, immersive presentation, volumetric, futuristic elements, captivating visuals, realistic materials, high-quality rendering techniques, innovative concepts, otherworldly atmosphere, futuristic aesthetics, immersive storytelling, 4k","painting, low-quality rendering, photo, photorealistic, realism, ugly, worst quality, low quality, lowres, JPEG artifacts"
